表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
育毛サプリ,健康食品・サプリメント,NG（育毛効果）,育毛は医薬品的効能,・美容院が開発したサプリ ・髪のプロが開発したサプリ
髪の健康に,健康食品・サプリメント,条件付きOK,美容目的なら可能,・見た目の健康に ・美容のために
アイサプリ,健康食品・サプリメント,条件付きOK,眼への効果を暗示しない,眼の構成成分〇〇配合サプリ
鼻がすーっと通る,健康食品・サプリメント,NG（症状改善）,鼻づまりの改善を暗示,爽やかさを感じる
ハリ・ツヤ,健康食品・サプリメント,条件付きOK,肌への直接作用でなければ可,生活にハリ、ツヤを
美肌,健康食品・サプリメント,条件付きOK,美容成分配合として,・ハリのある毎日へ ・毎日の生活にうるおいを ・美容成分配合
日焼け対策の美白サプリ,健康食品・サプリメント,NG（美白効果）,美白は医薬品的効能,・夏の美容対策 ・外出する前にはこれを飲んで ・外的環境から体を守る ・夏は露出が増えるので、美容のトラブルが気になる季節のお供に
ウエストが細くなった,健康食品・サプリメント,NG（痩身効果）,身体の変化は医薬品的効能,・スリムなスカートが履けるようになった ・スリムなスカートが似合うようになった
ダイエットのサポート,健康食品・サプリメント,NG（痩身暗示）,ダイエット効果を暗示,・ダイエッターのサポート ・ダイエット時の不足しがちな栄養補給に
脂肪燃焼,健康食品・サプリメント,NG（脂肪燃焼）,脂肪燃焼は医薬品的効能,・ダイエッターをサポートする ・脂肪に関わる
バストアップ,健康食品・サプリメント,NG（身体変化）,身体の変化は医薬品的効能,・女子力アップ ・体の内側から魅力アップ
生殖機能,健康食品・サプリメント,NG（生殖機能）,生殖機能への作用は医薬品的効能,・精力的な生活をサポート ・下半身の健康をサポート
腸内の善玉菌が増える,健康食品・サプリメント,条件付きOK,物理的補給として,（物理的に善玉菌を補給することで）腸内の善玉菌が増える
腸内環境を整える,健康食品・サプリメント,NG（体内環境）,体内環境の改善は医薬品的効能,・体内環境を整える ・内側からカラダ環境を整える ・中からカラダをきれいにする
関節の痛みに,健康食品・サプリメント,NG（症状）,関節痛は症状,・日常的なスムーズな動きのサポート ・毎日のウォーキングのサポート
関節を滑らかに,健康食品・サプリメント,NG（関節機能）,関節機能への作用は医薬品的効能,・カラダの潤滑油 ・ひざ関節を構成する〇〇配合
足のむくみに,健康食品・サプリメント,NG（症状）,むくみは症状,・お休み前のリフレッシュに ・1日歩いたご褒美に
エネルギー変換,健康食品・サプリメント,条件付きOK,身体機能への作用を暗示しない,・エネルギー生活 ・エネルギッシュな生活をサポート
EGF含有プラセンタ (豚由来),健康食品・サプリメント (ドリンク),OK,医薬品成分とされるEGFはヒト由来。豚由来と明示すればOK。,-
特定成分が「含まれていない」表示 (実際は微量含有),健康食品・サプリメント (ヨーグルト系),条件付きOK,ビタミンK等、基準未設定成分は他成分に準じ100g中0.1g未満なら可か。,-
特許表示 (パッケージ),健康食品・サプリメント (栄養ドリンク),条件付きOK,製法・方法特許は容器・パッケージ限定で表示OKだが、特許タイトルが薬機法違反表現 (例: 腸内バランスを整える) なら不可。,製法特許取得 (タイトル記載なし)
衣類にスプレーする虫よけ (忌避剤),雑貨,OK,間接的な使用は忌避剤 (部外品) に該当しない。,-
天然由来成分のコバエよけ、「コバエの殺虫」効果も記載 (雑品),雑貨,NG,コバエは衛生害虫。「コバエよけ (忌避)」「殺虫」ともに部外品承認が必要。,-
ダニが嫌がる成分配合、※屋内塵性ダニ類の忌避効果を確認 (ペット用消臭剤),雑貨,NG,「忌避」を訴求し、対象が衛生害虫 (屋内塵性ダニ類) なので忌避剤 (部外品) に該当。,-
スーパーミリオンヘアー的な商品 (粉でボリュームアップ),雑貨,条件付きOK,地肌に振りかけ黒く見せるなら雑品OK。「粉が髪に付着」は化粧品定義に触れるため「粉が髪をカバー」等が無難。,粉が髪をカバーし、髪が生えたような仕上がりになる
まつげエクステ用グルー (雑貨扱い),雑貨,OK,美化目的等に合致せず化粧品定義外。,-
アンファーの「スカルプDと毛髪ホルモン量測定キット」セット販売,雑貨 (検査キット) / 化粧品 (部外品),微妙 (ホルモン量測定部分),将来リスク評価はOKだが、DHT量等を示すのは非医療機器としてNG。,-
遺伝子検査でハゲのリスクを診断し、結果に応じて育毛剤等を勧める,雑貨 (検査キット) / 化粧品 (部外品) 等,NG,診断自体はOKだが、出口に育毛剤等があると、検査キットも薬機法対象となりNG。,-
無添加 (添加物として記載するものがない場合),食品,条件付きOK,他の類型(例:類似機能の原材料使用)に該当せず、過度な健康・安全関連付けや強調なければ可。,-
本品は低GI食品です,食品,微妙 (注記推奨),体の変化とも取れる。「糖質の吸収が穏やか」の意味と注記すればOK。,-
本品は糖質の吸収が穏やかな低GI食品です,食品,OK,体の変化ではなく食品の性質のため。,-
本品は食後の血糖値が上がりにくい低GI食品です,食品,NG,体の具体的変化を述べているため。,-
小児用流動食,食品,OK,病者用等の特別用途食品とは異なるため。,-
無添加、天然、自然、遺伝子組み換え不使用 (はちみつ),食品 (はちみつ),NG (一部条件付きOK),「無添加」は何が無添加か明示すべき。「天然」「自然」は「純粋」「Pure」に統一(規約)。「遺伝子組み換え不使用」は対象食品以外NG。,添加物〇〇不使用、純粋、Pure
顧客の健康状態測定→商品販売 (睡眠状態測定→睡眠グッズ推奨),睡眠グッズ等,注意必要 (医師法リスク),病名診断や治療アドバイスは医師法違反。医療行為を伴う測定 (血液検査等) も不可。,-
美白・純白,薬用化粧品,条件付きOK（注釈要）,薬用化粧品で承認効能の範囲内,【注釈等でも可】メラニンの生成を抑え、シミ、ソバカスを防ぐ
マッサージ,美顔器（非医療機器）,NG,医療機器の「あんま、マッサージの代用」効果に該当。化粧品効能効果にない,・肌をひきしめる ・肌にはりを与える ・肌をなめらかにする
あんま,美顔器（非医療機器）,NG,医療機器にのみ認められた効果表現,肌を整える
低周波刺激によって頭皮と顔を同時にケア,美顔器（非医療機器）,NG,EMSによる筋肉刺激は身体の構造・機能に影響を与える効果,・肌を整える ・なめらかな肌へ
表情筋がピリピリと細かく動き出し,美顔器（非医療機器）,NG,筋肉への直接的な作用を具体的に表現,心地よい刺激感
皮下の筋肉にアプローチ,美顔器（非医療機器）,NG,筋肉への直接的作用は医療機器的効果,肌の奥（※角質層）まで
頭筋・表情筋・身体の筋肉を総合的に刺激,美顔器（非医療機器）,NG,筋肉への作用を明確に謳っている,肌のケアをサポート
表情筋を効率良く鍛え上げることが可能,美顔器（非医療機器）,NG,筋肉を強化し状態を変化させることは身体機能への影響,・肌のハリをサポート ・肌を引き締める
深層刺激のEMSモード,美顔器（非医療機器）,NG,肌の深部への作用は認められていない,表層ケアモード
リフトアップ,美顔器（非医療機器）,NG,顔痩せ効果・素肌の若返り効果を暗示,・肌をひきしめる ・ハリのある肌へ
頭・顔・体のトータルリフトに対応,美顔器（非医療機器）,NG,身体の構造変化を暗示する表現,全身の肌ケアに対応
顔全体がぐっと引き上がりスッキリ,美顔器（非医療機器）,NG,肌の構造変化と小顔効果を暗示,・肌をひきしめる ・すっきりとした使用感
顔全体のたるみ,美顔器（非医療機器）,NG,たるみは症状的表現で顔痩せ効果を暗示,ハリのない肌に
フェイスラインのたるみ,美顔器（非医療機器）,NG,顔の形状変化・痩身効果を暗示,フェイスラインのケア
頭皮をほぐせば顔が上がる,美顔器（非医療機器）,NG,身体の構造・機能への影響を説明,頭皮ケアで気分もリフレッシュ
血行促進,美顔器（非医療機器）,NG,身体機能への影響を謳うもので不適切,肌を整える
頭皮の血行が良くなることで毛根に栄養が行き渡り,美顔器（非医療機器）,NG,身体の構造・機能への直接的作用を暗示,頭皮を清潔に保つ
凝りをほぐしリンパ流し,美顔器（非医療機器）,NG,医療機器の効能効果「肩こりの緩解」に該当,首・肩まわりのケア
細胞の活性化,美顔器（非医療機器）,NG,細胞レベルの作用は医薬品的効能,肌を整える
代謝の促進,美顔器（非医療機器）,NG,身体機能の向上は医薬品的効能,肌のケアをサポート
薄毛予防,美顔器（非医療機器）,NG,医薬部外品である育毛剤の効能効果,頭皮・毛髪をすこやかに保つ
抜け毛・薄毛予防,美顔器（非医療機器）,NG,育毛剤の効能効果で化粧品では謳えない,・頭皮ケア ・毛髪のケア
育毛効果,美顔器（非医療機器）,NG,医薬部外品の効能効果,毛髪にはり、こしを与える
発毛促進,美顔器（非医療機器）,NG,医薬部外品の効能効果,毛髪をしなやかにする
小顔効果,美顔器（非医療機器）,NG,痩身効果で美容・健康関連機器では認められない,肌を引き締める
顔やせ効果,美顔器（非医療機器）,NG,痩身目的の表現は認められない,すっきりとした印象に
シェイプアップ,美顔器（非医療機器）,NG,痩身効果は認められない,肌のハリをサポート
脂肪の燃焼を促進,美顔器（非医療機器）,NG,医療機器的効果または身体機能への影響,肌のケアをサポート
皮下脂肪を分解,美顔器（非医療機器）,NG,身体の構造・機能への影響,肌を整える
肩こりの緩解,美顔器（非医療機器）,NG,医療機器「家庭用電気治療器」の効能効果,首・肩まわりのケア
疲労回復,美顔器（非医療機器）,NG,医薬品的効能,リフレッシュタイムに
癒し,美顔器（非医療機器）,NG,治療的効果を暗示する可能性,リラックスタイムに
リラクゼーション効果,美顔器（非医療機器）,NG,医療的効果を暗示する場合は不適切,心地よい使用感
治療,美顔器（非医療機器）,NG,医療行為を暗示,ケア
肌のくすみ,美顔器（非医療機器）,条件付きNG,汚れであると明記されている場合のみ使用可能,汚れによるくすみ（※汚れを落とすことで）
くすみをとる,美顔器（非医療機器）,NG,治療・予防され、くすみそのものがとれる表現は不可,汚れを落とし、肌を清潔に
肌のトーンアップ,美顔器（非医療機器）,NG,肌の生理機能に働きかける効果を暗示,明るい印象の肌に
透明感のある肌（非洗顔効果）,美顔器（非医療機器）,NG,肌質そのものの改善を暗示,うるおいのある肌
プロ仕様モデル,美顔器（非医療機器）,NG,最大級の表現や優秀性について誇大認識のおそれ,サロン級のケア
最高の技術,美顔器（非医療機器）,NG,最大級の表現は認められない,先進的な技術
業界唯一,美顔器（非医療機器）,NG,最大級の表現,特徴的な機能
革命的,美顔器（非医療機器）,NG,最大級またはそれに類する表現,画期的
必ず効果が現れる,美顔器（非医療機器）,NG,効果を保証する表現,多くの方にご満足いただいています
即効性,美顔器（非医療機器）,NG,効果発現時間の保証,使用後のすっきり感
持続効果,美顔器（非医療機器）,NG,効果持続時間の保証,継続的なケアで
エステ業界で定説,美顔器（非医療機器）,NG,効果の保証や裏付けを暗示,エステティシャンも注目
ツボを刺激,美顔器（非医療機器）,NG,生理的作用や体の内部への作用を暗示。経絡理論に基づく効果は医療機器のみ,・肌を整える ・心地よい刺激
経穴への刺激,美顔器（非医療機器）,NG,東洋医学的効果を暗示し、医療的作用を示唆,特定の部位へのケア
ツボ押し効果,美顔器（非医療機器）,NG,医療機器「指圧代用器」の効能効果に該当,肌への心地よい刺激
足の裏のツボ刺激で全身そう快,美顔器（非医療機器）,NG,全身への効果は承認された効果の範囲を超える,足裏の心地よいケア
経絡理論に基づく効果,美顔器（非医療機器）,NG,東洋医学的効果は医療機器でも一般向け広告では認められない,特定部位へのアプローチ
一番凝っている部分がツボですから、そこに装着してください,医療機器,条件付きOK,経絡理論に基づかない装着部位の指定であれば医療機器では可能,気になる部分に装着してください
美容効果（医療機器での表現）,医療機器,NG,医療機器でも美容器具的用法の強調は不適切,承認された効能効果の範囲内で表現
美顔用（医療機器での表現）,医療機器,NG,消費者の安易な使用を助長するおそれ,使用目的に応じたケア
痩身目的での使用,医療機器,NG,美容器具的用法を強調,承認された使用目的での使用
データ・グラフでの効果表示,化粧品,NG,医薬品等適正広告基準により数値的効果の保証は禁止,・使用感に関するアンケート結果 ・満足度調査結果
水分チェッカーでの使用前後比較,化粧品,NG,効果の保証と効果発現時間の暗示,・潤い感の比較 ・使用感の違い
ワセリンより潤うことをグラフで示す,化粧品,NG,他社製品との比較と効果の数値的保証,・高い保湿力 ・しっかりとした潤い
見た目年齢訴求「見た目29歳、実は53歳」,化粧品,条件付きOK,景表法上の合理的根拠と誇大でない表現が必要,・年齢を感じさせない肌 ・若々しい印象に
医師推薦・ドクター推薦,化粧品,NG,医薬関係者の推薦は原則禁止,・美容の専門家が注目 ・専門家監修
薬剤師の9割が推薦,化粧品,NG,医薬関係者の推薦に該当,薬剤師も愛用
医療現場で広く用いられています,化粧品,NG,医療機関での選用を暗示,美容の現場で注目されています
商品名「ドクター○○」,化粧品,NG,医薬品的な誤認を与える名称,・「Dr.」を避けた命名 ・専門家監修○○
△△医師と共同開発,化粧品,条件付きOK,推薦とは異なるが媒体審査ではNGの場合が多い,専門家と共同開発
マンガの体験談,化粧品,NG,第三者の創作による体験談は不可,・実際の使用者の声 ・使用感のみのコメント
架空の体験談（フィクション）,化粧品,条件付きOK,「フィクションです」「イメージです」の注記が必要,※この会話はイメージです
通販番組ナビゲーターの使用コメント「もちもちに潤っています」,化粧品,NG,効能効果を暗示する体験談,・使用感の良さを実感 ・しっとりとした感触
愛用歴○年（プロフィール）,化粧品,OK,コメントではなくプロフィールのため,-
使用感のみのコメント「スーと肌に伸びる」,化粧品,OK,効能効果を謳わない使用感表現,-
肌のことを考えて無添加,化粧品,NG,他社製品の誹謗と安全性の保証を暗示,○○成分不使用
低刺激（根拠なし）,化粧品,NG,パッチテスト等の根拠とただし書きが必要,低刺激※（※パッチテスト済み。全ての方に刺激が起こらないわけではありません）
アレルギーテスト済み,化粧品,条件付きOK,「全ての人にアレルギーが起こらないわけではない」注意書き必須,アレルギーテスト済み※（※全ての方にアレルギーが起こらないわけではありません）
安全・安心の商品,化粧品,NG,安全性の保証に該当,・品質にこだわった商品 ・やさしい使用感
製法特許表示（パッケージ）,化粧品,条件付きOK,事実であり効能効果を直接謳わなければ可能,特許取得済み製法
販売名「スーパー○○」,化粧品,NG,最大級表現や誇大な名称は不可,より具体的で誇大でない名称
販売名「茶のかおり」,化粧品,NG,効能効果を暗示する名称,愛称としての使用に留める
販売名にローマ字のみ、算用数字、記号,化粧品,NG,適切な販売名の要件を満たさない,日本語を含む適切な販売名
万能クリーム,化粧品,NG,最大級表現に該当,・マルチクリーム ・オールインワンクリーム
腸活,健康食品,NG,健康増進法上の問題表現,・腸内細菌を補給 ・お腹の調子を整える生活
メタボに悩む方に,健康食品,NG,メタボリックシンドロームを想起,中年の健康が気になる方に
医学会認定,健康食品,OK,健康食品には医薬品等適正広告基準が適用されない,-
低GI食品で血糖値が上がりにくい,健康食品,NG,体の具体的変化を述べている,本品は低GI食品です
データの推移とサプリを結び付ける,健康食品,NG,サプリの効能を述べていることになる,現状ならこのサプリがおすすめ
爪の中の菌まで殺菌・消毒,医薬部外品,NG,承認効能「洗浄・消毒」の範囲を逸脱,・洗浄・消毒 ・清潔に保つ
ナプキンで「肌ストレスから守る」,医薬部外品,NG,承認された効能効果の範囲外,肌にやさしい
手の指の爪エビデンスを足の指に外挿,医薬部外品,条件付きOK,部位が近似している場合は可能,手足の爪に（※手指での検証データ）
アクネ菌を殺菌（薬用洗顔料）,医薬部外品,NG,特定の菌名を示した殺菌効果は通常NG,・清潔に洗い上げる ・肌荒れを防ぐ
物忘れ防止,機能性表示食品,NG,機能性表示食品ではNGゾーンとされている,・記憶力をサポート ・認知機能の一部である記憶力を維持
スタミナアップ,機能性表示食品,NG,客観的表現は逸脱。主観的な「疲労感軽減」のみ可,疲労感を軽減
機能性関与成分名を商標名とする,機能性表示食品,OK,例：「プラズマ乳酸菌」等は可能,-
期コースで「お試しモニター募集」,全般,NG,試行的契約の誤認のおそれが強い,・定期コースのご案内 ・継続プランのお申込み
定期コースで「今ならお試し500円」,全般,NG,ガイドライン違反例に近く誤認のおそれ強い,初回特別価格500円（定期コース）
NO.1表示（リサーチ会社調査）,全般,条件付きOK,調査方法の合理性が重要（サンプルサイズ、1位の割合等）,※調査方法、根拠を明記
