表現 (問題となった広告表現など),製品カテゴリ,判定,理由,代替表現（可能な場合）
〇〇無添加だから肌にやさしい,医薬部外品,NG,特定の成分を含まないことを強調することで、他社製品を誹謗する可能性があるため。,「肌のことを考えて○○無添加」（ただしリスクあり）、「無添加である旨のみを表示」
医薬部外品の広告で「強い」,医薬部外品,NG,効能効果の最大級の表現に該当するため。,なし
売上No.1」（新指定医薬部外品以外の医薬部外品はOK）,医薬部外品,NG,効能効果や安全性の保証表現ではないため。,「人気No.1」
効き目しっかり,医薬部外品,NG,効能の保証と判断される可能性があるため。,キャッチフレーズ等の強調表現として使用せず、文章中で際立たせない表現。
医薬品成分の含有（例：トチュウの樹皮、センナの果実・小葉など）,健康食品,NG,「専ら医薬品として使用される成分本質」を含有する場合、医薬品とみなされるため。,医薬品成分に該当しない部位（例：トチュウの葉、センナの茎）を使用する。
特定の疾病への効果や治療・予防効果（例：がん、糖尿病、アトピー）,健康食品,NG,医薬品に分類されるため、医薬品医療機器等法に抵触し、適切な医療を受ける機会を奪うおそれがあるため。,抽象的な「健康にいい」「美容にいい」「元気を保つ」。
身体の具体的変化を謳う表現（例：「ウエストが細くなった」「ポッコリしたお腹がへこんだ」「痩身体質に改善」「脂肪燃焼」「食欲抑制」「男性機能を高める」）,健康食品,NG,身体に対する薬理作用を示唆し、医薬品的な効能効果の範囲を逸脱するため。,「スリムなスカートも買ってみた」「流行のスリムなデザインのズボンが似合うと言われている」「あなたのスッキリにぴったり」「食べることが気にならなくなる」「精力的なあなたへ」「燃えるダイエッターに人気」
用法・用量を指定する（「〇〇に〇粒」等）,健康食品,NG,医薬品的な用法・用量の指定にあたるため。,商品に「食品」であることを表示して、「一日２粒目安」「一回３粒程度」など
ダイエット」（商品名や強調表現として）,健康食品,NG,その商品を飲食して痩せられることを標榜していると解釈されるため。,「ダイエット*（※ダイエットする人の健康をサポートすることです）」のように注釈を付す。
食欲を抑えてくれる。」「脳が満腹感の信号を与えます」,健康食品,NG,身体の具体的変化や脳への作用を示唆するため。,「食べることが気にならなくなる」「腹持ちがいい。」
紫外線によるシミを防ぐ」（サプリで）,健康食品,NG,身体の変化の予防を謳うため。,「太陽がまぶしい夏の美容対策」
ハリ、ツヤ」（肌の変化を謳う場合）,健康食品,NG,肌の具体的変化を謳うことになり、危険性があるため。,「女子力が上がった気がする」「ハリのある毎日」
体の中から潤う」＋「保湿」,健康食品,NG,「保湿」は肌に特化する表現であり、内側からの変化を示唆することが問題。,「保湿性の高い成分△△を含んだ美容ドリンク××でカラダの中からキレイに！」「うるおい成分を摂取して体の中から美しく」
肌をきれいにする」「お肌の調子が気になる方に」,健康食品,NG,肌の具体的変化や特定部位の変化を示唆するため。,「美容のためのサプリ」「鏡を見るのが楽しくなった」「美容トラブルが気になる方に」「毎日の美容ケアに」
コラーゲンを産む」「コラーゲンを育てる」,健康食品,NG,身体の変化や身体機能を謳う表現であるため。,「コラーゲンをサポート」「コラーゲンを補給しコラボ」
デトックス」「DETOX」「体の毒素を抜く」,健康食品,NG,日本語の「解毒」にあたり、医薬品的な効能効果に該当するため。,「中からキレイに」「リフレッシュ」「浄化」（文脈による）
脱メタボ」「メタボに悩む男性に」,健康食品,NG,「メタボリックシンドローム」の予防を示唆し、医薬品的効能効果に該当するため。,「生活習慣の改善」「中年に悩む男性に」
血糖値が下がった」「糖値が気になる方に」「糖をブロック」,健康食品,NG,血糖値への作用を示唆し、医薬品的効能効果に該当するため。,「健康診断が気にならなくなった」「甘いものが気になる方に」
お酒の後に」（具体的な服用時期の指定）,健康食品,NG,医薬品的用法・用量の指定に該当するため。,「夜のお付き合いの後に」
代謝をよくする」「巡りをよくする」「体を巡らせる」,健康食品,NG,身体の具体的変化や代謝促進を示唆するため。,「××が体を巡る。」「体のリズムを良くする」「体をイキイキさせる」
冷え性」「体の冷えに」「手足が冷える方に」,健康食品,NG,「冷え症」は医薬品の効能として認められており、医薬品的効能に該当するため。,「寒い日は厚着をしないといられないという方に」「夏の冷房が苦手な方に」「寒さが苦手な方」
酵素を育てる,健康食品,NG,「体内酵素を増やす」という身体の変化に該当するため。,「酵素を補給」
生理痛が気になる方に,健康食品,NG,明らかに医薬品的効能に該当するため。,「女性特有の悩みをお持ちの方に」
思考力を高める」「集中力を高める」,健康食品,NG,身体の機能変化に該当するため。,「思考に刺激」「思考に必要な栄養補給」「頑張りたいとき」
イライラを抑えます」「ストレスを抑える」,健康食品,NG,身体の具体的変化に該当するため。,「気持ちが落ち着く」「リフレッシュできる」「多忙なあなたを癒す」「キリキリしていると言われたくない。」
血液サラサラ,健康食品,NG,特定部位（血液）の変化を謳うことになり、医薬品的効能に該当するため。,「人生サラサラ」
妊活,健康食品,NG,消費者庁の留意事項で実質的なNGワードとされているため。,「妊活*（※妊娠時の栄養補給の意味）」のように注釈を付す。
妊娠中のママが摂取すると、母胎を通じてお腹の中の赤ちゃんの健康にも繋がる,健康食品,NG,身体内での具体的な作用をイメージさせるため。,「ママも健康なら赤ちゃんも健康」
のどスプレー」として食品を販売する場合の「のど」に関する効能表現,健康食品,NG,食品で「のど」を標榜することは問題があり、医薬品的な効能に抵触する恐れがあるため。「のどあめ」は歴史的経緯による特例。,「のどにスプレーしながら飲んでください」（用法の表現にとどめる）
〇〇大学との共同研究」や「○○大学との共同研究から生まれた成分」,健康食品,OK (条件付き),健康食品の広告の場合、広告全体が医薬品的な効能効果を暗示していない限り、薬機法の指導対象にはならない。,なし（条件付きでOK）
体験談で効能効果や安全性を謳う表現,健康食品,NG,個人の意見であり客観的に裏付けされておらず、効能効果・安全性の誤解を与えるおそれがあるため。,使用方法、使用感、香りのイメージなど、事実に基づく感想の範囲であれば可。
立ち座り」「階段の昇り降り」など関節痛の改善を示唆する表現,健康食品,NG,関節痛などの改善は身体の機能変化を謳うものであり、医薬品的効能に該当する可能性があるため。,「毎日楽しく歩いています」「階段も平気」
生姜茶で「生姜で体ぽかぽか」,健康食品,NG,生姜そのものの効果として身体を温めることを謳うことはNG。,お湯を加えて飲むタイプであれば、「お湯による効果」として「体ぽかぽか」は問題ない。
ダイエットサポート,健康食品,NG,ダイエット（痩身）に効果があるという意味になり、薬機法に抵触するため。,「ダイエッターサポート」（ダイエットする人の健康や栄養補給をサポートする意味）
体内に吸収されにくいからダイエットに効果的,健康食品,NG,身体の機能に影響を及ぼす薬理的な作用を示唆するため。,「カロリーが低いからダイエットにおすすめ」（カロリーが低いことによるダイエット効果は薬事法上問題ない）
乳酸菌を摂って、酵素を増やそう,健康食品,NG,体内で、ある成分が別の成分に作用して「増やす」「生み出す」「強化する」といった表現はできないため。,「乳酸菌は酵素と相性が良い」「〇〇効果のために二つの成分が助け合う」
腸内バランスを整える製造方法」（特許タイトルとしてパッケージに記載）,健康食品,NG,特許のタイトルや内容が医薬品的な効能効果や身体の具体的な変化を標榜するものである場合、表示できないため。,「製法特許取得」
コラーゲン不足の肌」と「コラーゲンに満たされた肌」という比較の肌の断面図,健康食品,NG,コラーゲンが肌に作用し、肌が変化することを標榜しているため。,比較せずに、肌の構成成分としてコラーゲンを断面図で表示する。
食事を我慢しなくてもOK」「食べることが大好き」（痩身効果を暗示する場合）,健康食品,NG,カロリー制限の結果としてのダイエット効果という原則に反する可能性があるため。,「食べることが大好き」は文脈による。
燃やす」「燃焼」「メラメラ」,健康食品,NG,脂肪燃焼などの身体の具体的な変化を謳う表現であるため。,「ダイエットに燃えるあなたの健康をサポート」「気持ちを燃やすあなたに」（気分的な燃焼であれば）
生はちみつ」を容器・包装に表示,健康食品,NG,はちみつ類の表示に関する公正競争規約により、「純粋」または「Pure」に統一する必要があるため。,「純粋」「Pure」 (ただしLPなどの広告には「生」の使用は可能)
虫歯になりにくい乳酸菌配合,健康食品,NG,身体の具体的な効果（虫歯になりにくくなる）を謳う表現であるため。,「口内菌ケア」「口内フローラを整える」（口腔内の乳酸菌を補給する趣旨であれば）
アレルゲン（アレル物質）の除去（掃除機などの雑品で）,雑品 (掃除機),NG,「アレルゲン」への作用は医薬品的な表現であり、雑品では謳えないため。,一般的な菌やウイルスの除去
枕や布団などの睡眠グッズで「熟睡」「深い眠り」「ぐっすり眠れた」,雑品 (寝具),NG,不眠症などの睡眠障害の治療を示唆し、医薬品的効果とみなされるため。,「快眠」「安眠」（快適な睡眠環境を提供する意味で）、「心地よい眠り」
加圧レギンスなどの雑品で「カサカサかかとを潤します」,雑品 (衣類),NG,化粧品的な保湿効果を雑品で謳うことはできないため。,レギンスの物理的な効果（例：生地が湿度を保つ、角質を削り取る）としてであれば可。
布団のダニをクリーニング,雑品 (クリーニングサービス),NG,ダニの殺虫や除去を暗示する表現は医薬品的でありNG。物理的な吸引効果のみが認められる。,「吸引する」（物理的な作用として）
EMS機器で「バストアップ」「筋肉を鍛える」「アンチエイジングボディ」,雑品 (美容機器),NG,機器単体での身体の機能への影響や体型変化を謳うことは医療機器に該当するため。,「若く見えるようになった」（見た目や印象レベルの変化）。「マッサージなどの行為を絡める」。
電動歯ブラシ（雑品）で「歯石の除去」,雑品 (電動歯ブラシ),NG,歯石除去は医薬品や医療機器の領域であり、雑品では謳えないため。,「汚れ・歯垢の除去」（ブラッシング効果によるもの）
音楽や映像を視聴する商品（雑品）で「リラックス」「能力開発」,雑品 (コンテンツ),NG,音波や光線などの物理的作用による身体への薬理作用を示唆するため。,単なる情報（CD・DVDコンテンツ）であれば内容に規制なし。
フェイシャル用EMS機器のメニュー名で「リフトアップ」,雑品 (美容機器),NG,機器単体の効果として肌のたるみを改善する機能は化粧品の効能範囲を逸脱するため。,「ハリアップ」（化粧品で言える効果）。「手により表情筋を鍛えることを併用した結果である旨を注釈」。
炭酸水販売で血圧計を景品にすること,雑品 (景品),NG,景品表示法上の「不当景品類及び不当防止法」の規制に該当する可能性。,なし
疲労回復」「筋肉のコリの緩和」を謳う（非医療機器のリカバリーウェアで）,医療機器,NG,これらの効果は医療機器の効能であり、非医療機器では謳えないため。,「血行促進」（非医療機器でも謳える範囲）。
体験談、臨床データ提示、医師推奨,医療機器,NG,医薬品等適正広告基準が適用され、保証禁止規定に抵触するため。,なし（原則NG）。ただし、ビフォーアフターは条件付きでOK。
ビフォーアフター写真で「○%改善」などと訴求,医療機器,NG,効能効果の保証禁止規定に抵触するため。,なし（効果の保証を避ける）
セルフホワイトニング」と称して、酸化チタン溶液とLED照明機器を販売し、ホワイトニングを謳う,医療機器,NG,ジェルもLED照射機も医療機器扱いとなり、化粧品としてのジェルでこのような訴求はできないため。医療機器登録が必要。,ホワイトニングは、医薬部外品ジェルならそれについて、化粧品ジェルならプラスブラッシングについて謳う。LED機は「輝く歯のメンテナンスにお使い下さい」といった説明を付け、ホワイトからは離れた立ち位置にする。
